equipo,elo,pais,liga,ultimo_partido,activo
Pro Vercelli,1304.0434209517205,ITA,I2,2018-05-18,False
Gaziantepspor,1303.9726030745328,TUR,T1,2017-06-02,False
Lugo,1303.1397986395596,ESP,SP2,2023-05-27,False
Cardiff,1301.9829429923407,ENG,E1,2026-09-12,True
Yeni Malatyaspor,1301.4601191004933,TUR,T1,2022-05-21,False
Alessandria,1299.0782500893279,ITA,I2,2022-05-06,False
Duisburg,1297.6198381570293,GER,D2,2019-05-19,False
Pau FC,1297.213794230515,FRA,F2,2026-09-11,True
Boulogne,1295.5583632528148,FRA,F2,2026-09-11,True
Grosseto,1294.8883238131796,ITA,I2,2013-05-18,False
Ferrol,1293.3806095488928,ESP,SP2,2025-05-31,False
Martigues,1293.191084719447,FRA,F2,2025-05-10,False
Beziers,1293.1494001184622,FRA,F2,2019-05-17,False
Chambly,1292.9261055570053,FRA,F2,2021-05-15,False
Mersin Idman Yurdu,1291.2579827545046,TUR,T1,2016-05-18,False
Laval,1291.1224358616123,FRA,F2,2026-09-11,True
Eupen,1290.979914511718,BEL,B1,2024-05-11,False
Wehen,1290.5389406166096,GER,D2,2024-05-19,False
Blackpool,1290.169923244354,ENG,E1,2023-05-08,False
Nimes,1289.5188594480067,FRA,F2,2023-06-02,False
Reggiana,1287.8902596555133,ITA,I2,2026-05-08,True
Cosenza,1287.5486287753454,ITA,I2,2025-05-13,False
Carpi,1286.4636429252264,ITA,I2,2019-05-11,False
Virtus Entella,1286.2332138733516,ITA,I2,2026-09-11,True
Barnsley,1285.7255785620152,ENG,E1,2022-05-07,False
Frankfurt FSV,1285.2366487267227,GER,D2,2016-05-15,False
Seraing,1285.2350623943562,BEL,B1,2023-04-22,False
Kallonis,1284.234326084588,GRE,G1,2016-04-17,False
Concarneau,1284.229450701453,FRA,F2,2024-05-17,False
Pescara,1283.1696653206777,ITA,I2,2026-05-08,True
Panthrakikos,1281.2521767549567,GRE,G1,2016-04-17,False
Ingolstadt,1277.4867909758036,GER,D2,2022-05-15,False
Sandhausen,1275.961257727198,GER,D2,2023-05-28,False
Partick,1275.8822846748242,SCO,SC0,2018-05-12,False
Hansa Rostock,1274.961988806956,GER,D2,2024-05-19,False
Varese,1273.4114884135506,ITA,I2,2015-05-22,False
Xerez,1272.4154979327157,ESP,SP2,2013-06-08,False
Platanias,1271.0905588698918,GRE,G1,2018-05-05,False
Sedan,1269.2628420497397,FRA,F2,2013-05-24,False
Cartagena,1268.8542458885295,ESP,SP2,2025-06-01,False
Apollon,1268.274327289539,GRE,G1,2022-05-15,False
Lamia,1266.9624500879181,GRE,G1,2025-05-18,False
Caen,1265.9604525927202,FRA,F2,2025-05-10,False
Erzgebirge Aue,1264.1013675767094,GER,D2,2022-05-15,False
Ross County,1263.348710812946,SCO,SC0,2025-05-18,False
Nancy,1261.6603528664784,FRA,F2,2026-09-11,True
Osnabruck,1259.4440525033765,GER,D2,2026-09-13,True
Creteil,1258.7040015490184,FRA,F2,2016-05-13,False
Wurzburger Kickers,1255.3705785189516,GER,D2,2021-05-23,False
Orleans,1253.8628055899087,FRA,F2,2020-03-09,False
Ajaccio GFCO,1253.5615591070414,FRA,F2,2019-05-17,False
OFI,1253.4346717952913,GRE,G1,2015-05-02,False
Arles,1252.0282041259672,FRA,F2,2015-05-22,False
St Johnstone,1251.634820993855,SCO,SC0,2026-09-09,True
Lecco,1251.5537185102778,ITA,I2,2024-05-10,False
Regensburg,1248.8405689716653,GER,D2,2025-05-18,False
Istres,1247.8574416621327,FRA,F2,2014-05-16,False
Reus Deportiu,1245.9502204320102,ESP,SP2,2019-06-08,False
Valenciennes,1242.6848343009956,FRA,F2,2024-05-17,False
Hamilton,1241.9522707111716,SCO,SC0,2021-05-16,False
Karabukspor,1241.10040863433,TUR,T1,2018-05-18,False
Bourg Peronnas,1240.578892562852,FRA,F2,2018-05-11,False
Rotherham,1240.0503567809958,ENG,E1,2024-05-04,False
Tours,1237.9830993445719,FRA,F2,2018-05-11,False
Pordenone,1230.1076601056172,ITA,I2,2022-05-06,False
CA Bastia,1226.8730696747132,FRA,F2,2014-05-16,False
Amiens,1223.039015998459,FRA,F2,2026-05-09,True
Bolton,1222.3406965364666,ENG,E1,2026-09-12,True
Chateauroux,1221.867498898536,FRA,F2,2021-05-15,False
Niort,1219.303994762332,FRA,F2,2023-06-02,False
Sheffield Weds,1216.84113825441,ENG,E1,2026-05-02,True
Livorno,1208.8699212586662,ITA,I2,2020-07-31,False
Livingston,1204.1173232313922,SCO,SC0,2026-05-17,True
Niki Volos,1177.6205435606037,GRE,G1,2015-05-02,False
